"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","hidden_layers","learning_rate","method","metric.goal","metric.name","optimizer","parameters.activation_functions","parameters.hidden_layerss","parameters.learning_rates","parameters.optimizers","Epoch","Train Loss","Train MSE","Train R-squared","Train RMSE","Validation Loss","Validation MSE","Validation R-squared","Validation RMSE"
"graceful-sweep-30","","finished","-","","","2024-10-13T08:02:14.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","97.98622723366816","4.400788295380077","0.9493425133445672","2.097805590463539","14.816830818277952","14.816830818277952","0.765899799480727","3.849263672220695"
"earnest-sweep-29","","finished","-","","","2024-10-13T08:01:47.000Z","21","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","102.2884616022068","3.682338796901157","0.9576125875764964","1.9189421035823768","12.393118235233356","12.393118235233356","0.8041935215762708","3.5203860917850127"
"bright-sweep-28","","finished","-","","","2024-10-13T08:01:20.000Z","25","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","108.17795585503283","4.997205052776797","0.942477158344278","2.235442920939114","10.648697118319774","10.648697118319774","0.8317547010395445","3.263234150090945"
"stellar-sweep-27","","finished","-","","","2024-10-13T08:00:48.000Z","26","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","90.58707855678914","4.441587031577592","0.9488728789755032","2.107507302852731","12.858492312381644","12.858492312381644","0.7968407910151245","3.5858739956085524"
"devout-sweep-26","","finished","-","","","2024-10-13T08:00:16.000Z","26","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","96.10242025292658","4.159167225885413","0.9521238141666146","2.039403644668071","11.430178319966206","11.430178319966206","0.8194076000804249","3.3808546730029976"
"swift-sweep-25","","finished","-","","","2024-10-13T07:59:50.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","102.89342508008568","4.304691447863732","0.950448684431188","2.07477503548306","13.369181592834645","13.369181592834645","0.7887720977551859","3.6563891467997007"
"efficient-sweep-24","","finished","-","","","2024-10-13T07:59:23.000Z","24","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","111.62146608499958","4.193519218725217","0.9517283882787806","2.04780839404599","15.782511334492296","15.782511334492296","0.7506424205407947","3.972720898136729"
"clear-sweep-23","","finished","-","","","2024-10-13T07:58:56.000Z","20","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","105.9956874247814","4.342042063370142","0.950018741389262","2.0837567188542288","13.218596962894512","13.218596962894512","0.7911512767102846","3.6357388469050567"
"dazzling-sweep-22","","finished","-","","","2024-10-13T07:58:24.000Z","28","x5gn1f5a","tanh","[18,9]","0.001","","","","sgd","","","","","1000","104.782263355475","0.6682445601024468","0.9923078349573206","0.8174622683050556","16.02231970370784","16.02231970370784","0.7468535409883397","4.002788990654871"
"brisk-sweep-21","","finished","-","","","2024-10-13T07:58:08.000Z","11","x5gn1f5a","tanh","[18,9]","0.01","","","","mini_batch","","","","","1000","0.9138174240449628","0.9134770690756232","0.9894849628451065","0.955759943226134","16.85244673184569","16.85244673184569","0.7337378547712972","4.105173167096083"
"honest-sweep-20","","finished","-","","","2024-10-13T07:57:36.000Z","26","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","108.61000701774174","4.582160185221642","0.9472547410018336","2.140598090539567","20.002540755809715","20.002540755809715","0.6839675866411621","4.4724200111136385"
"unique-sweep-19","","finished","-","","","2024-10-13T07:57:09.000Z","21","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","108.91908514475708","4.117039300279202","0.9526087488387636","2.029048865917034","12.961786419344325","12.961786419344325","0.7952087840462259","3.6002481052483484"
"dauntless-sweep-18","","finished","-","","","2024-10-13T07:56:58.000Z","9","x5gn1f5a","tanh","[64,32]","0.01","","","","mini_batch","","","","","1000","0.4612434778737535","0.4603295630611946","0.9947011450829494","0.6784759119240672","19.055396182006927","19.055396182006927","0.6989321048547638","4.36524869646701"
"dainty-sweep-17","","finished","-","","","2024-10-13T07:56:32.000Z","23","x5gn1f5a","tanh","[9]","0.001","","","","sgd","","","","","1000","102.71708087113848","5.002013590001551","0.9424218072585304","2.2365181845899555","22.449722832813524","22.449722832813524","0.645303055611554","4.738113847599435"
"easy-sweep-16","","finished","-","","","2024-10-13T07:56:21.000Z","5","x5gn1f5a","tanh","[9]","0.01","","","","mini_batch","","","","","1000","4.736753077081456","4.7353474661077435","0.9454914017734012","2.176085353589731","16.619806570636907","16.619806570636907","0.7374134794076148","4.076739698660795"
"misty-sweep-15","","finished","-","","","2024-10-13T07:55:49.000Z","27","x5gn1f5a","tanh","[18,9]","0.001","","","","sgd","","","","","1000","107.32852641576204","0.43207084344940655","0.9950264312852274","0.6573209592348372","15.0875923157549","15.0875923157549","0.7616218724645083","3.884275005165687"
"upbeat-sweep-14","","finished","-","","","2024-10-13T07:55:38.000Z","6","x5gn1f5a","tanh","[18,9]","0.01","","","","mini_batch","","","","","1000","0.8193658632449922","0.8091309883855025","0.9906860908783852","0.899517086210986","10.774901784624657","10.774901784624657","0.8297607160875131","3.282514552081172"
"prime-sweep-13","","finished","-","","","2024-10-13T07:55:27.000Z","5","x5gn1f5a","tanh","[18,9]","0.001","","","","mini_batch","","","","","1000","4.568137608028829","4.565280045406133","0.9474490483395313","2.1366515966357578","16.319551450841953","16.319551450841953","0.7421573942577613","4.039746458732522"
"fragrant-sweep-12","","finished","-","","","2024-10-13T07:55:16.000Z","6","x5gn1f5a","tanh","[18,9]","0.001","","","","mini_batch","","","","","1000","4.704917970726676","4.70120465063191","0.9458844198200004","2.1682261530181557","13.295577114519885","13.295577114519885","0.7899350200658966","3.6463100683457905"
"charmed-sweep-11","","finished","-","","","2024-10-13T07:55:06.000Z","8","x5gn1f5a","tanh","[64,32]","0.01","","","","mini_batch","","","","","1000","0.5225990396964656","0.5211560810708641","0.9940009708601616","0.7219114080487051","12.694523066139068","12.694523066139068","0.7994314417349148","3.5629374210248304"
"mild-sweep-10","","finished","-","","","2024-10-13T07:54:55.000Z","8","x5gn1f5a","tanh","[64,32]","0.01","","","","mini_batch","","","","","1000","0.4188825053301083","0.4175920497719147","0.9951930967206618","0.6462136254923094","17.881198506558007","17.881198506558007","0.71748397432288","4.228616618535902"
"sunny-sweep-9","","finished","-","","","2024-10-13T07:54:19.000Z","30","x5gn1f5a","sigmoid","[9]","0.001","","","","sgd","","","","","1000","103.96216629747876","4.341238183250693","0.950027994855616","2.083563817897281","15.110529813489787","15.110529813489787","0.7612594688651824","3.887226493721428"
"lemon-sweep-8","","finished","-","","","2024-10-13T07:53:47.000Z","30","x5gn1f5a","relu","[18,9]","0.01","","","","sgd","","","","","1000","86.87654822176785","86.88290607576008","-0.0001093803440785912","9.321100046440876","63.85818598620179","63.85818598620179","-0.008934658667062001","7.991131708725729"
"easy-sweep-7","","finished","-","","","2024-10-13T07:53:37.000Z","8","x5gn1f5a","sigmoid","[9]","0.001","","","","batch","","","","","1000","33.7042251911037","33.69617726268366","0.6121232071500784","5.80484084731732","32.75764769108467","32.75764769108467","0.4824418266581866","5.723429713998825"
"vibrant-sweep-6","","finished","-","","","2024-10-13T07:53:19.000Z","11","x5gn1f5a","relu","[9]","0.1","","","","batch","","","","","1000","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"classic-sweep-5","","finished","-","","","2024-10-13T07:53:03.000Z","12","x5gn1f5a","tanh","[64,32]","0.01","","","","mini_batch","","","","","1000","0.5896507202848695","0.5881528051590299","0.993229771377556","0.7669112107402198","11.169667980307269","11.169667980307269","0.8235235627649871","3.3421053215461756"
"resilient-sweep-4","","finished","-","","","2024-10-13T07:52:25.000Z","31","x5gn1f5a","sigmoid","[18,9]","0.001","","","","sgd","","","","","1000","94.90093430669472","2.5348369878245283","0.9708214841829084","1.5921171401076393","19.88858694861414","19.88858694861414","0.6857680127539791","4.459662201177814"
"different-sweep-3","","finished","-","","","2024-10-13T07:52:15.000Z","5","x5gn1f5a","tanh","[64,32]","0.001","","","","batch","","","","","1000","30.233366890602277","30.223531946516804","0.6520968373170757","5.49759328674983","30.013639474589716","30.013639474589716","0.5257960959743736","5.478470541546218"
"blooming-sweep-2","","finished","-","","","2024-10-13T07:52:04.000Z","6","x5gn1f5a","sigmoid","[64,32]","0.001","","","","mini_batch","","","","","1000","15.7454313434081","15.735629577054478","0.8188671229308413","3.966816050317241","24.978061613831656","24.978061613831656","0.6053562800239665","4.997805679879086"
"avid-sweep-1","","finished","-","","","2024-10-13T07:51:37.000Z","23","x5gn1f5a","relu","[9]","0.01","","","","sgd","","","","","1000","118.16844081059836","34.838923264779964","0.5989690546514195","5.902450615191961","32.618437284820615","32.618437284820615","0.48464129727511385","5.711255316024719"